session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status
60900a22af49c44c2790854e,6037a63eb08c240350cfd0db,APPROVED,2021-05-03 14:35:14.439000,2021-05-03 15:38:26.708000,3792.269,47,61,0,100,2021-05-05 13:28:20.135000,2A25E7C1,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Female,No
60900a30618f04e561934194,5f4895d886169122cd2fbbbd,APPROVED,2021-05-03 14:35:35.959000,2021-05-03 15:44:26.142000,4130.183,28,83,1,100,2021-05-05 13:28:21.494000,2A25E7C1,Nigeria,Korea,Part-Time,DATA EXPIRED,English,Nigeria,Male,Yes
60900a3a991ddae23a37bcac,5d7cf3d8f3a7cf00016e11c4,APPROVED,2021-05-03 14:35:42.327000,2021-05-03 15:10:54.695000,2112.368,25,301,3,100,2021-05-05 13:28:24.730000,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
60900a3c8a70923b6f14b936,5fa0a200d82ea611f6ea3b0e,AWAITING REVIEW,2021-05-03 14:35:40.827000,2021-05-03 15:25:43.262000,3002.435,19,65,0,100,,NOCODE,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Female,Yes
60900a452797b4ffabf91b49,5ea1a0bbb95a340549382019,AWAITING REVIEW,2021-05-03 14:35:48.753000,2021-05-03 15:03:12.179000,1643.426,22,81,0,100,,2A25E7C1,United Kingdom,United Kingdom,Unemployed (and job seeking),English,,United Kingdom,Male,Yes
60900a4c6530cfae6b3ab4c1,5e992379f1bb6715d48226e0,APPROVED,2021-05-03 14:40:18.730000,2021-05-03 16:43:21.309000,7382.579,31,526,1,100,2021-05-05 13:28:22.573000,2A25E7C1,United States,United States,Full-Time,English,English,United States,Male,No
6092ac6bd4ce627cdb2da989,5efe20bbc05e8610f47600f7,AWAITING REVIEW,2021-05-05 14:32:16.853000,2021-05-05 15:01:33.610000,1756.757,28,80,0,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
6092ac8a5f06fdf898c2d0e9,5fb29e64dea90c8e62d9646d,AWAITING REVIEW,2021-05-05 14:32:42.167000,2021-05-05 15:27:21.872000,3279.705,24,150,5,97,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Male,No
6092acab84384fbf401d3c4b,6085ef6781a630230df99939,AWAITING REVIEW,2021-05-05 14:33:24.880000,2021-05-05 15:35:34.196000,3729.316,30,19,0,100,,2A25E7C1,United Kingdom,United Kingdom,Part-Time,,English,United Kingdom,Female,
6092acb8fb9e218625ee36ba,5ca8cc500adbf40001d8425a,AWAITING REVIEW,2021-05-05 14:33:55.462000,2021-05-05 15:13:34.381000,2378.919,21,374,0,100,,2A25E7C1,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,Yes
6092acbbdfab56120e058d6e,5ea087103e426305d598f94f,RETURNED,2021-05-05 14:43:31.725000,,64071.053928,56,191,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6092acdcffb744349b729561,5eb087d83d8745127270fb51,AWAITING REVIEW,2021-05-05 14:34:04.835000,2021-05-05 15:07:28.579000,2003.744,43,171,0,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
